,Rk,Team,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,GP,MOVES,date,Unnamed: 0
5,6,Anthony,0.5058,0.8039,30,117,103,26,12,50,374,,,2020-12-27,
5,6,Anthony,0.4971,0.8214,41,163,135,27,17,64,502,,,2020-12-28,
0,1,Anthony,0.5077,0.8129,45,208,162,32,23,69,567,,,2020-12-29,
0,1,Anthony,0.5155,0.8254,57,261,198,39,28,95,713,,,2020-12-30,
5,6,Anthony,0.5097,0.8232,61,276,205,39,31,109,752,49.0,1.0,2020-12-31,
2,3,Anthony,0.4967,0.8217,72,309,222,47,34,120,867,55.0,1.0,2021-01-01,
1,2,Anthony,0.4942,0.8127,81,356,262,50,37,134,969,64.0,1.0,2021-01-02,
3,4,Anthony,0.4912,0.8075,86,371,275,53,40,141,1024,68.0,1.0,2021-01-03,
3,4,Anthony,0.4824,0.802,91,421,308,61,46,158,1126,76.0,1.0,2021-01-04,
6,7,Anthony,0.48,0.8026,100,438,328,66,48,166,1188,82.0,3.0,2021-01-05,
3,4,Anthony,0.4808,0.8036,110,472,348,72,53,174,1278,87.0,3.0,2021-01-06,
4,5,Anthony,0.4834,0.805,125,514,368,78,54,184,1402,95.0,4.0,2021-01-07,
4,5,Anthony,0.4838,0.8,131,534,375,83,55,193,1475,99.0,5.0,2021-01-08,
5,6,Anthony,0.4898,0.8034,140,566,393,90,61,210,1621,107.0,6.0,2021-01-09,
4,5,Anthony,0.4888,0.8047,150,600,423,93,62,226,1714,114.0,6.0,2021-01-10,
7,8,Anthony,0.4899,0.8092,157,637,433,95,63,235,1775,119.0,6.0,2021-01-11,
6,7,Anthony,0.4849,0.8108,166,683,472,108,69,249,1891,127.0,6.0,2021-01-13,
7,8,Anthony,0.485,0.8037,174,716,482,113,76,257,1955,132.0,6.0,2021-01-14,
7,8,Anthony,0.484,0.8073,178,747,494,116,77,263,1998,135.0,6.0,2021-01-15,
7,8,Anthony,0.4853,0.8044,186,773,508,117,81,275,2073,141.0,6.0,2021-01-16,
7,8,Bachar,0.4495,0.7971,44,115,76,26,17,47,357,,,2020-12-27,
9,10,Bachar,0.4488,0.8152,53,148,103,34,21,64,452,,,2020-12-28,
4,5,Bachar,0.4508,0.8364,62,175,113,40,24,73,530,,,2020-12-29,
7,8,Bachar,0.4515,0.8222,71,212,133,47,25,85,620,,,2020-12-30,
8,9,Bachar,0.4571,0.8194,80,250,149,52,27,92,719,45.0,3.0,2020-12-31,
6,7,Bachar,0.4559,0.8148,87,276,170,58,28,103,767,50.0,3.0,2021-01-01,
6,7,Bachar,0.4583,0.8011,102,320,196,66,32,115,891,58.0,3.0,2021-01-02,
6,6,Bachar,0.4593,0.7744,113,372,224,72,39,127,986,65.0,3.0,2021-01-03,
4,4,Bachar,0.457,0.767,129,396,254,76,42,132,1085,71.0,3.0,2021-01-04,
3,3,Bachar,0.4628,0.7857,143,446,275,86,46,142,1215,79.0,3.0,2021-01-05,
4,5,Bachar,0.4594,0.7822,146,459,284,88,47,144,1238,82.0,3.0,2021-01-06,
6,6,Bachar,0.4583,0.7713,164,521,326,96,49,163,1385,92.0,3.0,2021-01-07,
7,8,Bachar,0.4541,0.7721,168,529,340,102,52,172,1426,95.0,3.0,2021-01-08,
7,8,Bachar,0.4515,0.7746,182,565,358,108,53,189,1538,103.0,3.0,2021-01-09,
7,8,Bachar,0.4495,0.7816,188,610,377,111,54,195,1627,109.0,3.0,2021-01-10,
8,9,Bachar,0.4469,0.7727,194,634,397,112,56,201,1679,113.0,4.0,2021-01-11,
9,10,Bachar,0.4454,0.7812,208,690,435,121,60,224,1794,123.0,4.0,2021-01-13,
9,10,Bachar,0.4435,0.7796,212,699,447,122,60,231,1815,125.0,4.0,2021-01-14,
10,11,Bachar,0.4423,0.7769,216,722,475,128,61,244,1855,129.0,4.0,2021-01-15,
9,10,Bachar,0.4443,0.7757,219,746,481,131,61,249,1917,134.0,4.0,2021-01-16,
12,13,Bilal,0.4017,0.716,24,105,55,13,14,34,266,,,2020-12-27,
12,13,Bilal,0.4098,0.7048,26,157,79,18,15,46,350,,,2020-12-28,
12,13,Bilal,0.4112,0.6972,33,164,89,19,16,51,387,,,2020-12-29,
12,13,Bilal,0.4056,0.736,37,189,100,25,17,55,447,,,2020-12-30,
12,13,Bilal,0.4132,0.7391,44,209,111,30,18,62,508,37.0,5.0,2020-12-31,
12,13,Bilal,0.4,0.7566,51,243,133,35,22,75,582,43.0,5.0,2021-01-01,
12,13,Bilal,0.4149,0.7473,65,303,166,40,27,106,713,53.0,5.0,2021-01-02,
12,13,Bilal,0.4175,0.7525,75,319,179,46,29,114,786,57.0,5.0,2021-01-03,
12,13,Bilal,0.4276,0.7636,85,352,203,50,30,124,891,63.0,5.0,2021-01-04,
11,12,Bilal,0.4338,0.7787,95,403,240,53,30,136,1013,70.0,5.0,2021-01-05,
12,13,Bilal,0.4335,0.7773,99,417,254,55,31,141,1054,73.0,5.0,2021-01-06,
12,13,Bilal,0.4362,0.7815,108,474,275,66,36,159,1173,82.0,6.0,2021-01-07,
12,13,Bilal,0.4424,0.7754,111,494,295,72,39,171,1230,85.0,6.0,2021-01-08,
12,13,Bilal,0.4421,0.7604,123,547,338,80,49,182,1361,95.0,6.0,2021-01-09,
12,13,Bilal,0.4436,0.766,134,617,359,86,58,200,1464,103.0,7.0,2021-01-10,
12,13,Bilal,0.4421,0.7654,140,638,371,87,61,211,1515,106.0,7.0,2021-01-11,
12,13,Bilal,0.4443,0.7624,152,690,399,95,68,225,1648,117.0,8.0,2021-01-13,
11,12,Bilal,0.4443,0.7634,166,735,424,102,77,233,1758,124.0,8.0,2021-01-14,
11,12,Bilal,0.4443,0.7658,167,755,427,103,79,238,1782,126.0,8.0,2021-01-15,
12,13,Bilal,0.4464,0.7576,183,799,448,107,83,255,1899,132.0,8.0,2021-01-16,
4,5,Hassan,0.5036,0.7324,48,148,71,19,13,43,380,,,2020-12-27,
7,8,Hassan,0.4901,0.75,57,179,93,25,17,59,471,,,2020-12-28,
5,5,Hassan,0.4926,0.7576,67,204,105,33,19,64,544,,,2020-12-29,
6,7,Hassan,0.4938,0.7477,82,255,127,41,23,79,640,,,2020-12-30,
6,7,Hassan,0.4834,0.748,97,284,154,47,29,95,743,50.0,6.0,2020-12-31,
4,5,Hassan,0.4747,0.7111,107,320,171,51,31,106,803,55.0,6.0,2021-01-01,
4,5,Hassan,0.4606,0.732,123,374,200,62,34,117,901,63.0,7.0,2021-01-02,
4,4,Hassan,0.4658,0.7349,136,404,211,68,38,127,994,69.0,7.0,2021-01-03,
5,6,Hassan,0.4613,0.7337,147,430,232,75,38,136,1080,74.0,7.0,2021-01-04,
7,8,Hassan,0.4558,0.7333,162,463,251,83,43,145,1161,82.0,7.0,2021-01-05,
7,8,Hassan,0.4584,0.7387,170,485,262,87,45,154,1221,86.0,7.0,2021-01-06,
7,8,Hassan,0.451,0.7421,183,533,294,100,50,168,1323,95.0,7.0,2021-01-07,
6,7,Hassan,0.4552,0.7331,195,556,313,103,51,175,1394,99.0,8.0,2021-01-08,
